Unnamed: 0,name,type,state,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
224,Tohoku Institute of Technology,Private,Miyagi Ken,1964-01,5,15,True,False,3.62,140.0,38.0,7
225,Tohoku Fukushi University,Private,Miyagi Ken,1962-01,8,15,True,True,3.78,493.0,44.0,6
226,Tohoku Medical And Pharmaceutical University,Private,Miyagi Ken,1939-04,3,5,True,False,3.74,140.0,51.9,4
227,Tohoku Seikatsu Bunka University,Private,Miyagi Ken,1958-01,2,2,False,False,3.64,44.0,36.5,7
228,Miyagi Gakuin Women’s University,Private,Miyagi Ken,1946-06,6,14,True,False,3.9,296.0,37.5,7
229,Ishinomaki Senshu University,Private,Miyagi Ken,1988-12,5,13,True,False,3.65,62.0,35.3,7
230,Sendai Shirayuri Women’s College,Private,Miyagi Ken,1995-12,1,4,False,False,3.58,73.0,36.0,7
231,Tohoku Bunka Gakuen University,Private,Miyagi Ken,1998-12,7,11,True,False,3.69,84.0,35.9,7
232,Shokei Gakuin University,Private,Miyagi Ken,2002-12,4,8,True,False,3.82,108.0,36.3,7
233,North Asia University,Private,Akita Ken,1964-01,3,4,False,False,3.26,39.0,35.5,7
234,Akita University of Nursing And Welfare,Private,Akita Ken,2004-11,1,2,False,False,4.15,32.0,35.5,7
235,Japanese Red Cross Akita College of Nursing,Private,Akita Ken,2008-10,2,3,True,False,3.84,25.0,36.5,7
236,Tohoku University of Art & Design,Private,Yamagata Ken,1992-04,3,13,True,False,4.12,131.0,49.7,4
237,Tohoku University of Community Service And Science,Private,Yamagata Ken,2000-12,2,3,True,False,3.48,39.0,35.5,7
238,Tohoku Bunkyo College,Private,Yamagata Ken,2010-10,2,3,False,False,3.82,35.0,38.0,7
239,Koriyama Women’s University,Private,Fukushima Ken,1966-01,2,3,True,False,3.76,59.0,35.7,7
240,Ohu University,Private,Fukushima Ken,1972-02,3,3,True,False,3.55,38.0,35.0,7
241,Iryo Sosei University,Private,Fukushima Ken,1986-04,8,9,True,False,3.46,65.0,35.6,7
242,Higashi Nippon International University,Private,Fukushima Ken,1994-12,3,3,False,False,3.85,28.0,36.0,7
243,Fukushima College,Private,Fukushima Ken,2002-12,2,3,True,False,3.86,35.0,35.0,7
244,Ibaraki Christian University,Private,Ibaraki Ken,1967-04,7,11,True,False,3.87,171.0,41.4,6
245,Ryutsu Keizai University,Private,Ibaraki Ken,1965-01,12,17,True,False,3.71,203.0,38.9,7
246,Tokiwa University,Private,Ibaraki Ken,1983-01,5,11,True,False,3.75,135.0,38.8,7
247,Tsukuba International University,Private,Ibaraki Ken,1993-12,1,6,False,False,3.68,79.0,36.7,7
249,Nihon Wellness Sports University,Private,Ibaraki Ken,2012-04,3,3,False,True,3.58,6.0,35.0,7
250,Ashikaga University,Private,Tochigi Ken,1967-01,3,4,True,False,3.66,42.0,36.4,7
251,Hakuoh University,Private,Tochigi Ken,1985-12,5,5,True,False,3.9,363.0,40.6,6
